fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,ticker,year,month,day,year_month,retorno_log_diario,media_movil_7d,media_movil_30d,volatilidad_7d,volatilidad_30d
2024-06-14,175.85,178.73,175.85,178.37,177.52,12361600,GOOG,2024,6,14,,0.0,10237.617142857143,9034.579,0.0,0.0
2024-06-17,176.98,179.92,176.49,178.78,177.93,15272900,GOOG,2024,6,17,,-4.603995987545751,10237.617142857143,9034.579,0.0,0.0
2024-06-18,178.79,178.91,175.62,176.45,175.61,15640300,GOOG,2024,6,18,,-0.01311844953842748,10237.617142857143,9034.579,0.0,0.0
2024-06-20,176.71,178.74,176.46,177.71,176.86,16753200,GOOG,2024,6,20,,-4.602385941055899,10237.522857142858,9034.579,3.7601054132493688,0.0
2024-06-21,178.49,182.51,178.06,180.26,179.4,59728000,GOOG,2024,6,21,,-4.5863183547391095,7712.339999999999,9034.579,4.140886644167924,0.0
2024-06-24,181.28,182.08,180.23,180.79,179.93,18198300,GOOG,2024,6,24,,-4.5724382924199265,10186.965714285714,9034.579,4.592441884594963,0.0
2024-06-25,181.15,185.75,181.1,185.58,184.69,18917700,GOOG,2024,6,25,,0.026149919231110208,7661.7300000000005,9034.579,4.128031760694482,0.0
2024-06-26,184.2,185.93,183.99,185.37,184.48,13375700,GOOG,2024,6,26,,-4.564889754170324,7678.8042857142855,9034.579,4.113575798328488,0.0
2024-06-27,185.65,187.5,185.45,186.86,185.97,13025700,GOOG,2024,6,27,,-4.559885270159644,7731.441428571429,9034.579,4.107786957586611,0.0
2024-06-28,185.72,186.58,183.32,183.42,182.54,23032400,GOOG,2024,6,28,,-4.571381427292295,10238.534285714286,9034.579,4.5626173272420765,0.0
2024-07-01,184.48,185.34,182.73,184.49,183.61,11815900,GOOG,2024,7,1,,-4.573803636603311,7744.388571428571,9034.579,4.882475881829271,0.0
2024-07-02,183.47,186.95,183.06,186.61,185.72,12555500,GOOG,2024,7,2,,-4.5707026620218105,7768.862857142856,9034.579,4.885792118866604,0.0
2024-07-03,186.3,187.62,185.38,187.39,186.49,7409100,GOOG,2024,7,3,,-4.5753418026132024,7834.038571428571,9034.579,4.8926064140579735,0.0
2024-07-05,187.32,192.26,187.32,191.96,191.04,14303400,GOOG,2024,7,5,,-4.56024823390176,7902.895714285713,9034.579,4.891962435446748,0.0
2024-07-08,191.37,191.68,189.32,190.48,189.57,12097600,GOOG,2024,7,8,,-0.007739814811437478,7903.751428571428,9034.579,4.575385132750818,0.0
2024-07-09,191.75,192.86,190.23,190.44,189.53,10198500,GOOG,2024,7,9,,-4.572359341450062,7992.294285714285,9059.661666666665,4.1145017665526264,4.073706118213707
2024-07-10,190.75,193.31,190.62,192.66,191.74,12052900,GOOG,2024,7,10,,0.011589793003159477,7993.047142857143,8470.849666666667,3.732972190258165,4.073709029672918
2024-07-11,191.34,192.41,186.82,187.3,186.41,16452000,GOOG,2024,7,11,,-4.581037760830762,10619.184285714287,9100.873,3.734809846983108,4.071034875374256
2024-07-12,186.92,188.69,186.14,186.78,185.89,14449100,GOOG,2024,7,12,,-0.0027801557684710683,8016.761428571428,8516.379333333332,3.156759591954557,4.071041234308126
2024-07-15,186.49,189.9,186.49,188.19,187.29,12186000,GOOG,2024,7,15,,-4.582569610141566,8012.034285714287,8540.365,3.740841958357261,4.0698744786176535
2024-07-16,188.96,190.34,185.12,185.5,184.61,12760100,GOOG,2024,7,16,,-4.600987326024834,7986.028571428571,8573.064666666667,4.12764087779545,4.070876174392841
2024-07-17,184.68,185.23,181.62,182.62,181.75,17376600,GOOG,2024,7,17,,-4.59054841993782,10561.941428571428,9193.226666666666,4.5923124772464154,4.0732554082161165
2024-07-18,183.54,184.05,178.21,179.22,178.36,17877200,GOOG,2024,7,18,,-0.018793389732120667,7959.194285714285,8605.695333333333,4.131247267261794,4.073226098293795
2024-07-19,180.37,181.97,178.86,179.39,178.53,14485900,GOOG,2024,7,19,,-4.601384669957119,7872.030000000001,8605.914,4.137563930733431,4.0759753861644885
2024-07-22,182.35,184.3,181.9,183.35,182.47,16303900,GOOG,2024,7,22,,-4.571443900823265,7759.951428571428,8605.608333333334,4.130832659579434,4.078024749928323
2024-07-23,183.84,185.22,183.33,183.6,182.72,23772600,GOOG,2024,7,23,,-4.585220325631434,10307.06,9203.652,4.590145759693938,3.99245433277823
2024-07-24,175.39,177.95,173.57,174.37,173.54,31250700,GOOG,2024,7,24,,-4.599730747353377,10230.798571428571,9180.365666666667,4.580858491041093,3.9922635508897732
2024-07-25,174.25,175.2,169.05,169.16,168.35,28967900,GOOG,2024,7,25,,-4.62075629433708,10150.882857142857,9146.205333333333,4.588605979195636,3.994497740552323
2024-07-26,168.77,169.84,165.87,168.68,167.87,25150100,GOOG,2024,7,26,,-0.002841583725928654,7602.469999999999,8540.069333333333,4.126631599763036,3.89949356163006
2024-07-29,170.5,172.16,169.72,171.13,170.31,13768900,GOOG,2024,7,29,,-4.619378359352081,7509.335714285714,9111.621666666668,4.602111927168764,3.998805623388606
2024-07-30,171.83,172.95,170.12,171.86,171.04,13681400,GOOG,2024,7,30,,-4.6158311813885655,7512.947142857143,8468.589333333333,4.616730320459431,4.08847853417362
2024-07-31,174.92,175.91,171.72,173.15,172.32,15650200,GOOG,2024,7,31,,-4.621461818687613,9998.720000000001,8998.236666666666,4.618932789655702,4.091553480313535
2024-08-01,171.98,175.68,170.51,172.45,171.63,17177800,GOOG,2024,8,1,,-0.004050931465581136,7543.658571428571,8394.537999999999,4.153252145315794,4.0915724685087325
2024-08-02,168.19,170.21,166.39,168.4,167.6,18907800,GOOG,2024,8,2,,-4.601372008162478,9890.16142857143,8906.744,3.7616280757271445,4.092791868939971
2024-08-05,157.37,165.94,156.6,160.64,159.87,34907800,GOOG,2024,8,5,,-0.04717626530486205,7463.478571428571,8905.825666666668,3.178005676556824,4.00651716358506
2024-08-06,160.95,162.35,158.13,160.54,159.77,36146500,GOOG,2024,8,6,,-4.614228326776456,7261.774285714286,8829.244,3.7623467369993078,4.008112116129135
2024-08-07,163.24,164.79,160.24,160.75,159.98,19334200,GOOG,2024,8,7,,-4.623162863563364,7141.917142857143,8163.288666666666,4.151152748126184,4.096734534787248
2024-08-08,162.34,165.5,162.03,163.84,163.06,15733600,GOOG,2024,8,8,,-4.593617503940419,7058.358571428572,8696.549,4.613672925430039,4.188489866254119
2024-08-09,161.65,165.52,160.93,165.39,164.6,13549200,GOOG,2024,8,9,,-4.612460794930604,7124.742857142858,8655.708999999999,4.933937871515387,4.189652085547981
2024-08-12,165.99,166.7,163.55,163.95,163.17,12435000,GOOG,2024,8,12,,-4.628417828870747,9553.56,8581.442333333334,4.614444567072491,4.102196538119739
2024-08-13,165.18,166.54,164.77,165.93,165.14,12717600,GOOG,2024,8,13,,-4.640378041713751,9695.544285714286,8553.862,4.628867130541215,4.1972966546583725
2024-08-14,164.21,164.96,159.53,162.03,161.26,22515900,GOOG,2024,8,14,,-0.023784509401786922,7338.688571428572,7981.182666666666,4.165952154341354,4.108397502391152
2024-08-15,162.21,163.52,161.49,163.17,162.39,18392500,GOOG,2024,8,15,,-4.657441735563845,7402.271428571429,7981.1720000000005,4.183013940159609,4.113532900725147
